Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
"6E","246","CCU","  3   7","32Q","J","440","03:00:00","05:25:00","","","","","","","",""
"AI","2452","BOM","    5  ","32N","J","164","03:05:00","05:25:00","","","","","","","",""
"6E","246","CCU","   45  ","32Q","J","220","03:00:00","05:25:00","","","","","","","",""
"","","","","","","","","05:25:00","07:40:00","1302","J","32N","1234567","VTZ","6425","6E"
"","","","","","","","","05:30:00","07:05:00","1302","J","32N","1234567","IXL","6004","6E"
"","","","","","","","","05:30:00","06:40:00","186","J","32N","    5  ","LKO","6026","6E"
"","","","","","","","","05:30:00","07:55:00","656","J","32N"," 2345 7","BOM","1745","AI"
"","","","","","","","","05:30:00","07:55:00","328","J","32N","1234567","BOM","1745","AI"
"","","","","","","","","05:30:00","06:40:00","186","J","32N","  3    ","LKO","6026","6E"
"","","","","","","","","05:30:00","06:40:00","558","J","32N"," 2 4 6 ","LKO","6026","6E"
"","","","","","","","","05:30:00","09:30:00","259","J","788","   4   ","TLV","139","AI"
"","","","","","","","","05:30:00","06:40:00","186","J","32N","      7","LKO","6026","6E"
"","","","","","","","","05:30:00","07:55:00","164","J","32N","1    6 ","BOM","1745","AI"
"","","","","","","","","05:30:00","06:40:00","186","J","32N","1      ","LKO","6026","6E"
"","","","","","","","","05:30:00","11:30:00","1794","J","789","123 567","LHR","111","AI"
"","","","","","","","","05:35:00","08:30:00","1134","J","7M8","1234567","IMF","1461","IX"
"T5","531","ASB","  3    ","73G","J","128","01:15:00","05:35:00","","","","","","","",""
"B2","757","MSQ","     6 ","7M8","J","174","20:25:00","05:35:00","","","","","","","",""
"","","","","","","","","05:40:00","07:25:00","1624","J","32Q","1234567","HSR","6171","6E"
"","","","","","","","","05:40:00","07:15:00","1260","J","32N","1234567","IDR","1725","AI"
"6E","953","MAA","1234567","32Q","J","1540","02:45:00","05:40:00","","","","","","","",""
"SQ","402","SIN","1234567","787","J","2359","02:35:00","05:40:00","","","","","","","",""
"","","","","","","","","05:45:00","08:10:00","1148","J","32N","1234567","VGA","2571","AI"
"","","","","","","","","05:45:00","07:30:00","1232","J","7M8","1234567","PAT","1346","IX"
"","","","","","","","","05:45:00","08:35:00","1232","J","7M8","1234567","GAU","1032","IX"
"","","","","","","","","05:45:00","08:05:00","1148","J","32N","1234567","PNQ","1797","AI"
"","","","","","","","","05:45:00","08:40:00","660","J","32Q"," 2  5 7","BLR","2314","6E"
"","","","","","","","","05:45:00","09:45:00","259","J","788","      7","TLV","139","AI"
"","","","","","","","","05:45:00","08:40:00","880","J","32Q","1 34 6 ","BLR","2314","6E"
"","","","","","","","","05:45:00","07:30:00","1148","J","32N","1234567","BDQ","1701","AI"
"AI","184","CCU","1  4 6 ","77W","J","690","03:20:00","05:45:00","","","","","","","",""
"6E","1406","AUH","1234567","32Q","J","1624","00:25:00","05:50:00","","","","","","","",""
"6E","804","BLR"," 23 5 7","32Q","J","880","03:00:00","05:50:00","","","","","","","",""
"6E","804","BLR","1  4 6 ","32Q","J","660","03:00:00","05:50:00","","","","","","","",""
"KU","383","KWI","1     7","32Q","J","332","23:10:00","05:55:00","","","","","","","",""
"","","","","","","","","05:55:00","07:55:00","1624","J","32Q","1234567","RPR","6459","6E"
"KU","383","KWI"," 23456 ","32N","J","670","23:10:00","05:55:00","","","","","","","",""
"","","","","","","","","05:55:00","07:35:00","182","J","321","1    6 ","AMD","817","AI"
"","","","","","","","","05:55:00","09:05:00","1392","J","32Q","1 34567","COK","5303","6E"
"","","","","","","","","05:55:00","07:35:00","364","J","321","1234567","AMD","817","AI"
"","","","","","","","","05:55:00","08:00:00","1148","J","32N","1234567","IXU","1727","AI"
"","","","","","","","","05:55:00","08:15:00","1295","J","7M8","1234567","CCU","1801","QP"
"","","","","","","","","05:55:00","09:05:00","232","J","32Q"," 2     ","COK","5303","6E"
"","","","","","","","","05:55:00","07:05:00","1050","J","320","1234567","HWR","481","AI"
"","","","","","","","","05:55:00","07:35:00","728","J","321"," 2345 7","AMD","817","AI"
